CarID,OwnerName,LicensePlate,Model,Color,FuelType,Phone,Email,Membership,PaymentMethod,Slot,Size,Rate,DynamicPricing,RemovedTime
1001,John Doe,MH12AB1234,Model X,Color,Fuel,0000000000,email@example.com,None,Cash,S1,Medium,50,No,Wed Aug 13 12:34:53 2025
CarID,OwnerName,LicensePlate,Model,Color,FuelType,Phone,Email,Membership,PaymentMethod,Slot,Size,Rate,DynamicPricing,RemovedTime
1001,John Doe,MH12AB1234,Model X,Color,Fuel,0000000000,email@example.com,None,Cash,S1,Medium,50,No,Wed Aug 13 12:34:53 2025
CarID,OwnerName,LicensePlate,Model,Color,FuelType,Phone,Email,Membership,PaymentMethod,Slot,Size,Rate,DynamicPricing,RemovedTime
1002,Bob,MH12AB1234,Model X,Color,Fuel,0000000000,email@example.com,None,Cash,S1,Medium,50,No,Wed Aug 13 12:34:53 2025
CarID,OwnerName,LicensePlate,Model,Color,FuelType,Phone,Email,Membership,PaymentMethod,Slot,Size,Rate,DynamicPricing,RemovedTime
1001,John Doe,MH12AB1234,Model X,Color,Fuel,0000000000,email@example.com,None,Cash,S1,Medium,50,No,Wed Aug 13 12:34:53 2025
CarID,OwnerName,LicensePlate,Model,Color,FuelType,Phone,Email,Membership,PaymentMethod,Slot,Size,Rate,DynamicPricing,RemovedTime
1000,Owner0,MH12AB1234,Model X,Color,Fuel,0000000000,email@example.com,None,Cash,S1,Medium,50,No,Wed Aug 13 12:34:53 2025
CarID,OwnerName,LicensePlate,Model,Color,FuelType,Phone,Email,Membership,PaymentMethod,Slot,Size,Rate,DynamicPricing,RemovedTime
1001,Owner1,MH12AB1234,Model X,Color,Fuel,0000000000,email@example.com,None,Cash,S1,Medium,50,No,Wed Aug 13 12:34:53 2025
CarID,OwnerName,LicensePlate,Model,Color,FuelType,Phone,Email,Membership,PaymentMethod,Slot,Size,Rate,DynamicPricing,RemovedTime
1002,Owner2,MH12AB1234,Model X,Color,Fuel,0000000000,email@example.com,None,Cash,S1,Medium,50,No,Wed Aug 13 12:34:53 2025
CarID,OwnerName,LicensePlate,Model,Color,FuelType,Phone,Email,Membership,PaymentMethod,Slot,Size,Rate,DynamicPricing,RemovedTime
1003,Owner3,MH12AB1234,Model X,Color,Fuel,0000000000,email@example.com,None,Cash,S1,Medium,50,No,Wed Aug 13 12:34:53 2025
CarID,OwnerName,LicensePlate,Model,Color,FuelType,Phone,Email,Membership,PaymentMethod,Slot,Size,Rate,DynamicPricing,RemovedTime
1004,Owner4,MH12AB1234,Model X,Color,Fuel,0000000000,email@example.com,None,Cash,S1,Medium,50,No,Wed Aug 13 12:34:53 2025
CarID,OwnerName,LicensePlate,Model,Color,FuelType,Phone,Email,Membership,PaymentMethod,Slot,Size,Rate,DynamicPricing,RemovedTime
101,Alice,MH12AB1234,Model X,Color,Fuel,0000000000,email@example.com,None,Cash,S1,Medium,50,No,Wed Aug 13 12:34:53 2025
CarID,OwnerName,LicensePlate,Model,Color,FuelType,Phone,Email,Membership,PaymentMethod,Slot,Size,Rate,DynamicPricing,RemovedTime
400, Bob ,MH12AB1234,Model X,Color,Fuel,0000000000,email@example.com,None,Cash,S1,Medium,50,No,Wed Aug 13 12:34:53 2025
CarID,OwnerName,LicensePlate,Model,Color,FuelType,Phone,Email,Membership,PaymentMethod,Slot,Size,Rate,DynamicPricing,RemovedTime
800,Owner0,MH12AB1234,Model X,Color,Fuel,0000000000,email@example.com,None,Cash,S1,Medium,50,No,Wed Aug 13 12:34:53 2025
CarID,OwnerName,LicensePlate,Model,Color,FuelType,Phone,Email,Membership,PaymentMethod,Slot,Size,Rate,DynamicPricing,RemovedTime
900,A,MH12AB1234,Model X,Color,Fuel,0000000000,email@example.com,None,Cash,S1,Medium,50,No,Wed Aug 13 12:34:53 2025
CarID,OwnerName,LicensePlate,Model,Color,FuelType,Phone,Email,Membership,PaymentMethod,Slot,Size,Rate,DynamicPricing,RemovedTime
901,B,MH12AB1234,Model X,Color,Fuel,0000000000,email@example.com,None,Cash,S1,Medium,50,No,Wed Aug 13 12:34:53 2025
CarID,OwnerName,LicensePlate,Model,Color,FuelType,Phone,Email,Membership,PaymentMethod,Slot,Size,Rate,DynamicPricing,RemovedTime
1300,Owner1,MH12AB1234,Model X,Color,Fuel,0000000000,email@example.com,None,Cash,S1,Medium,50,No,Wed Aug 13 12:34:53 2025
CarID,OwnerName,LicensePlate,Model,Color,FuelType,Phone,Email,Membership,PaymentMethod,Slot,Size,Rate,DynamicPricing,RemovedTime
2017,SameOwner,MH12AB1234,Model X,Color,Fuel,0000000000,email@example.com,None,Cash,S1,Medium,50,No,Wed Aug 13 12:34:53 2025
CarID,OwnerName,LicensePlate,Model,Color,FuelType,Phone,Email,Membership,PaymentMethod,Slot,Size,Rate,DynamicPricing,RemovedTime
2100,O0,MH12AB1234,Model X,Color,Fuel,0000000000,email@example.com,None,Cash,S1,Medium,50,No,Wed Aug 13 12:34:53 2025
CarID,OwnerName,LicensePlate,Model,Color,FuelType,Phone,Email,Membership,PaymentMethod,Slot,Size,Rate,DynamicPricing,RemovedTime
2101,O1,MH12AB1234,Model X,Color,Fuel,0000000000,email@example.com,None,Cash,S1,Medium,50,No,Wed Aug 13 12:34:53 2025
CarID,OwnerName,LicensePlate,Model,Color,FuelType,Phone,Email,Membership,PaymentMethod,Slot,Size,Rate,DynamicPricing,RemovedTime
2102,O2,MH12AB1234,Model X,Color,Fuel,0000000000,email@example.com,None,Cash,S1,Medium,50,No,Wed Aug 13 12:34:53 2025
CarID,OwnerName,LicensePlate,Model,Color,FuelType,Phone,Email,Membership,PaymentMethod,Slot,Size,Rate,DynamicPricing,RemovedTime
2103,O3,MH12AB1234,Model X,Color,Fuel,0000000000,email@example.com,None,Cash,S1,Medium,50,No,Wed Aug 13 12:34:53 2025
CarID,OwnerName,LicensePlate,Model,Color,FuelType,Phone,Email,Membership,PaymentMethod,Slot,Size,Rate,DynamicPricing,RemovedTime
2104,O4,MH12AB1234,Model X,Color,Fuel,0000000000,email@example.com,None,Cash,S1,Medium,50,No,Wed Aug 13 12:34:53 2025
CarID,OwnerName,LicensePlate,Model,Color,FuelType,Phone,Email,Membership,PaymentMethod,Slot,Size,Rate,DynamicPricing,RemovedTime
2105,O5,MH12AB1234,Model X,Color,Fuel,0000000000,email@example.com,None,Cash,S1,Medium,50,No,Wed Aug 13 12:34:53 2025
CarID,OwnerName,LicensePlate,Model,Color,FuelType,Phone,Email,Membership,PaymentMethod,Slot,Size,Rate,DynamicPricing,RemovedTime
2106,O6,MH12AB1234,Model X,Color,Fuel,0000000000,email@example.com,None,Cash,S1,Medium,50,No,Wed Aug 13 12:34:53 2025
CarID,OwnerName,LicensePlate,Model,Color,FuelType,Phone,Email,Membership,PaymentMethod,Slot,Size,Rate,DynamicPricing,RemovedTime
2107,O7,MH12AB1234,Model X,Color,Fuel,0000000000,email@example.com,None,Cash,S1,Medium,50,No,Wed Aug 13 12:34:53 2025
CarID,OwnerName,LicensePlate,Model,Color,FuelType,Phone,Email,Membership,PaymentMethod,Slot,Size,Rate,DynamicPricing,RemovedTime
2108,O8,MH12AB1234,Model X,Color,Fuel,0000000000,email@example.com,None,Cash,S1,Medium,50,No,Wed Aug 13 12:34:53 2025
CarID,OwnerName,LicensePlate,Model,Color,FuelType,Phone,Email,Membership,PaymentMethod,Slot,Size,Rate,DynamicPricing,RemovedTime
2109,O9,MH12AB1234,Model X,Color,Fuel,0000000000,email@example.com,None,Cash,S1,Medium,50,No,Wed Aug 13 12:34:53 2025
CarID,OwnerName,LicensePlate,Model,Color,FuelType,Phone,Email,Membership,PaymentMethod,Slot,Size,Rate,DynamicPricing,RemovedTime
2110,O10,MH12AB1234,Model X,Color,Fuel,0000000000,email@example.com,None,Cash,S1,Medium,50,No,Wed Aug 13 12:34:53 2025
CarID,OwnerName,LicensePlate,Model,Color,FuelType,Phone,Email,Membership,PaymentMethod,Slot,Size,Rate,DynamicPricing,RemovedTime
2111,O11,MH12AB1234,Model X,Color,Fuel,0000000000,email@example.com,None,Cash,S1,Medium,50,No,Wed Aug 13 12:34:53 2025
CarID,OwnerName,LicensePlate,Model,Color,FuelType,Phone,Email,Membership,PaymentMethod,Slot,Size,Rate,DynamicPricing,RemovedTime
2112,O12,MH12AB1234,Model X,Color,Fuel,0000000000,email@example.com,None,Cash,S1,Medium,50,No,Wed Aug 13 12:34:53 2025
CarID,OwnerName,LicensePlate,Model,Color,FuelType,Phone,Email,Membership,PaymentMethod,Slot,Size,Rate,DynamicPricing,RemovedTime
2113,O13,MH12AB1234,Model X,Color,Fuel,0000000000,email@example.com,None,Cash,S1,Medium,50,No,Wed Aug 13 12:34:53 2025
CarID,OwnerName,LicensePlate,Model,Color,FuelType,Phone,Email,Membership,PaymentMethod,Slot,Size,Rate,DynamicPricing,RemovedTime
2114,O14,MH12AB1234,Model X,Color,Fuel,0000000000,email@example.com,None,Cash,S1,Medium,50,No,Wed Aug 13 12:34:53 2025
CarID,OwnerName,LicensePlate,Model,Color,FuelType,Phone,Email,Membership,PaymentMethod,Slot,Size,Rate,DynamicPricing,RemovedTime
2115,O15,MH12AB1234,Model X,Color,Fuel,0000000000,email@example.com,None,Cash,S1,Medium,50,No,Wed Aug 13 12:34:53 2025
CarID,OwnerName,LicensePlate,Model,Color,FuelType,Phone,Email,Membership,PaymentMethod,Slot,Size,Rate,DynamicPricing,RemovedTime
2116,O16,MH12AB1234,Model X,Color,Fuel,0000000000,email@example.com,None,Cash,S1,Medium,50,No,Wed Aug 13 12:34:53 2025
CarID,OwnerName,LicensePlate,Model,Color,FuelType,Phone,Email,Membership,PaymentMethod,Slot,Size,Rate,DynamicPricing,RemovedTime
2117,O17,MH12AB1234,Model X,Color,Fuel,0000000000,email@example.com,None,Cash,S1,Medium,50,No,Wed Aug 13 12:34:53 2025
CarID,OwnerName,LicensePlate,Model,Color,FuelType,Phone,Email,Membership,PaymentMethod,Slot,Size,Rate,DynamicPricing,RemovedTime
2118,O18,MH12AB1234,Model X,Color,Fuel,0000000000,email@example.com,None,Cash,S1,Medium,50,No,Wed Aug 13 12:34:53 2025
CarID,OwnerName,LicensePlate,Model,Color,FuelType,Phone,Email,Membership,PaymentMethod,Slot,Size,Rate,DynamicPricing,RemovedTime
2119,O19,MH12AB1234,Model X,Color,Fuel,0000000000,email@example.com,None,Cash,S1,Medium,50,No,Wed Aug 13 12:34:53 2025
CarID,OwnerName,LicensePlate,Model,Color,FuelType,Phone,Email,Membership,PaymentMethod,Slot,Size,Rate,DynamicPricing,RemovedTime
2120,O20,MH12AB1234,Model X,Color,Fuel,0000000000,email@example.com,None,Cash,S1,Medium,50,No,Wed Aug 13 12:34:53 2025
CarID,OwnerName,LicensePlate,Model,Color,FuelType,Phone,Email,Membership,PaymentMethod,Slot,Size,Rate,DynamicPricing,RemovedTime
